t,lowlevel_cnt,policy_run_steps,warmup,L_hip_pitch,L_hip_roll,L_hip_yaw,L_knee,L_ankle_pitch,L_ankle_roll,R_hip_pitch,R_hip_roll,R_hip_yaw,R_knee,R_ankle_pitch,R_ankle_roll
0.000000,0,0,1,0.31223968,-0.02628987,-0.61026233,0.73185599,-0.00865874,-0.29481006,-0.45526093,-0.13941285,-0.06324363,-0.37460828,-0.64659548,-0.36158416
0.010000,10,10,1,0.13740863,-0.09609371,0.10569601,0.75237542,-0.67046022,-0.19670773,-0.54418021,-0.40268788,-0.17761803,-0.47066969,-0.71392089,-0.34576336
0.020000,20,20,1,0.27845386,-0.15096670,-0.46347994,0.83324534,-0.11022924,-0.25504839,-0.47998288,-0.00164600,-0.19814257,-0.48969150,-0.68977451,-0.25238195
0.030000,30,30,1,0.21650024,-0.18798953,-0.07700926,1.10541821,-0.57550389,-0.07820031,-0.55613488,-0.25610375,-0.18991864,-0.26367098,-0.76182461,-0.16188662
0.040000,40,40,1,0.42644528,-0.38178813,-0.33841345,1.25217187,-0.61649722,0.05166925,-0.51029092,-0.16444004,-0.22580697,0.08057487,-0.51924652,-0.04329517
0.050000,50,50,1,0.51025361,-0.58383423,-0.33888239,1.49888277,-0.86654526,0.30864632,-0.56801397,-0.13944055,-0.11951427,0.68611431,-0.27881524,0.18201333
0.060000,60,60,1,0.63006943,-0.93230087,-0.57762432,1.42614245,-1.03350210,0.52869421,-0.55664301,-0.20163818,-0.17885751,1.29668391,0.03270457,0.24424425
0.070000,70,70,1,0.57058257,-0.92511231,-0.80764037,1.45435739,-1.16678739,0.66725922,-0.75591934,-0.15363766,-0.11273010,1.97219431,0.22917782,0.44048133
0.080000,80,80,1,0.46073547,-1.11705041,-0.98083365,1.33768928,-1.16594636,0.80321723,-0.91036969,-0.12207392,-0.13466983,2.40407014,0.26285011,0.52577680
0.090000,90,90,1,0.28073573,-1.22169483,-1.12377930,1.25404537,-1.18011868,0.90631241,-1.08158338,-0.07441257,-0.10276817,2.80270481,0.32457981,0.68746948
0.100000,100,100,1,0.12431662,-1.14871168,-1.28780425,1.04676914,-1.04110491,0.92831862,-1.19721079,0.11653176,-0.01191716,2.90502286,0.16150710,0.72429621
0.110000,110,110,1,-0.05740430,-1.24983180,-1.32052851,0.95948637,-0.91523647,1.00920868,-1.24924457,0.08374700,0.03285687,2.93309355,0.10293971,0.72046041
0.120000,120,120,1,-0.24274345,-1.16972816,-1.46781290,0.79216558,-0.85875267,1.00197923,-1.33335078,0.34304488,0.02150746,2.90350914,0.04483183,0.79413056
0.130000,130,130,1,-0.39423510,-1.16762829,-1.59903526,0.64398056,-0.68933004,1.02105319,-1.30576301,0.24587831,0.01652489,2.81582284,-0.02803690,0.76047170
0.140000,140,140,1,-0.54141641,-1.12792444,-1.72030103,0.52518570,-0.64768916,1.01533294,-1.36239862,0.38252375,-0.00528856,2.80582356,-0.03132861,0.81269658
0.150000,150,150,1,-0.61353105,-1.09472489,-1.74088573,0.44720784,-0.46705920,0.97244716,-1.35698617,0.38890502,0.01205943,2.64495659,-0.07974280,0.75972569
0.160000,160,160,1,-0.65540963,-1.15514350,-1.69892251,0.37699714,-0.39050061,0.96206844,-1.30645394,0.37978604,-0.01071234,2.43746424,-0.13271166,0.71456087
0.170000,170,170,1,-0.72369444,-1.21171165,-1.65253592,0.26552585,-0.28185284,0.98245400,-1.28151250,0.43525615,-0.01138844,2.25703073,-0.18984780,0.61408758
0.180000,180,180,1,-0.73386282,-1.28595185,-1.62960863,0.21765350,-0.22960731,0.98635656,-1.23431957,0.44520792,-0.01636411,2.06211972,-0.21051486,0.54019332
0.190000,190,190,1,-0.76424181,-1.35115671,-1.58049989,0.17208804,-0.19110990,1.00059843,-1.20790553,0.42571101,-0.07876404,1.88814652,-0.23716469,0.46842131
0.200000,200,200,1,-0.77275532,-1.37010860,-1.51286411,0.15115477,-0.15806392,0.98747522,-1.16396999,0.41523829,-0.09114240,1.67444038,-0.24892773,0.38765883
0.210000,210,210,1,-0.78485793,-1.32485557,-1.40066314,0.12459982,-0.15187562,0.95344692,-1.11742616,0.37080613,-0.12443103,1.44824862,-0.29479921,0.29560712
0.220000,220,220,1,-0.79084891,-1.25909090,-1.28678930,0.11772134,-0.11150538,0.89369494,-1.07067919,0.33792827,-0.12227999,1.19593716,-0.32489926,0.17803779
0.230000,230,230,1,-0.80410248,-1.16511846,-1.10914874,0.09913977,-0.13436243,0.81518167,-1.02188623,0.29271296,-0.13962035,0.91548359,-0.36238402,0.02050817
0.240000,240,240,1,-0.78267860,-1.09693015,-0.95278448,0.08694262,-0.13082862,0.70812815,-0.93264323,0.21419747,-0.12943722,0.57852441,-0.39600992,-0.18159632
0.250000,250,250,1,-0.76854581,-0.95565581,-0.72810233,0.07098456,-0.17338064,0.53921759,-0.84786600,0.15069608,-0.15230568,0.18762937,-0.41663754,-0.43931827
0.260000,260,260,1,-0.72846717,-0.81455457,-0.49209559,0.03542839,-0.20347160,0.30049616,-0.70989484,0.04000899,-0.16955563,-0.30094475,-0.43113351,-0.75739419
0.270000,270,270,1,-0.69712323,-0.59841329,-0.15883151,-0.01666938,-0.26744896,-0.06128458,-0.58087212,-0.03981195,-0.18010236,-0.90412533,-0.44550571,-1.13724089
0.280000,280,280,1,-0.67301899,-0.32250118,0.22850332,-0.14384186,-0.31484216,-0.56479615,-0.41438913,-0.09225783,-0.04197164,-1.57124233,-0.49844378,-1.51962852
0.290000,290,290,1,-0.57656062,0.01100603,0.51174772,-0.40126571,-0.20295011,-1.33964992,-0.17249164,0.01065259,0.53222054,-2.05880094,-0.52915072,-1.70820951
0.300000,300,300,1,-0.15859078,0.63393122,0.52081400,-1.07199383,0.06301584,-2.23251295,0.19320562,0.19089167,1.47888744,-1.96272600,-0.43948933,-1.73040104
0.310000,310,310,1,0.35562810,0.94622695,0.46170074,-1.77353239,-0.04981532,-2.70415521,0.57996470,0.41976258,2.13450670,-1.62405980,-0.30410865,-1.69327188
0.320000,320,320,1,0.74118859,0.89929980,0.35169780,-2.28216076,-0.32285073,-2.82240391,0.79929233,0.66900206,2.45282245,-1.35458553,-0.12846734,-1.70148361
0.330000,330,330,1,0.96217471,0.70692754,0.18447196,-2.64108944,-0.55091333,-2.75979567,0.88892180,0.99417210,2.53503060,-1.09206140,0.03934978,-1.70139742
0.340000,340,340,1,1.07738650,0.45104843,0.02275288,-2.88204312,-0.64146715,-2.63940454,0.89133042,1.33150959,2.51806664,-0.88131762,0.12223665,-1.68205798
0.350000,350,350,1,1.13683558,0.18865865,-0.09752798,-3.01684642,-0.66055709,-2.51039505,0.85769165,1.60459232,2.47231770,-0.72496659,0.18352477,-1.65635324
0.360000,360,360,1,1.15724802,-0.02298863,-0.19882429,-3.04951954,-0.64397609,-2.36759663,0.79580063,1.83863735,2.40391898,-0.60879296,0.23994343,-1.62791646
0.370000,370,370,1,1.17254496,-0.21522631,-0.26350272,-2.99225688,-0.56975132,-2.27828574,0.73924285,2.00346518,2.27701283,-0.54913723,0.23165093,-1.60296297
0.380000,380,380,1,1.16020012,-0.32433438,-0.28331864,-2.86821699,-0.46557134,-2.24615574,0.66539282,2.07027578,2.10195518,-0.55633628,0.17734914,-1.56545651
0.390000,390,390,1,1.11796737,-0.36847043,-0.27445331,-2.71018767,-0.33558518,-2.25734472,0.58331019,2.06165838,1.91696167,-0.61022234,0.09809469,-1.51689267
0.400000,400,400,1,1.06066227,-0.35103637,-0.25384724,-2.51970911,-0.24053717,-2.26966977,0.51100820,2.03504300,1.74177289,-0.66901428,0.02326052,-1.47550893
0.410000,410,410,1,1.00897491,-0.28273433,-0.22649214,-2.33961034,-0.20581979,-2.25830531,0.46669748,2.01259375,1.58421302,-0.70415103,-0.01027001,-1.44702244
0.420000,420,420,1,0.96690035,-0.21672593,-0.20275229,-2.23451328,-0.16489136,-2.23553658,0.43633130,2.04258990,1.47699678,-0.71482301,-0.01250238,-1.42490554
0.430000,430,430,1,0.95732373,-0.21154384,-0.13300228,-2.19026875,-0.10373767,-2.23245764,0.44336894,2.06367421,1.39715481,-0.72566581,-0.00416024,-1.40234804
0.440000,440,440,1,0.97132051,-0.24455450,-0.03799590,-2.19766688,-0.05743644,-2.24299741,0.47088954,2.05408525,1.31834674,-0.74821776,0.01537584,-1.38085938
0.450000,450,450,1,1.00293851,-0.26721114,0.01817223,-2.25793409,-0.07746444,-2.25835419,0.52065057,2.02047920,1.25824475,-0.75006026,0.08283995,-1.37218046
